Column,Example
explanation,"Best regards is correct because &quot;73&quot; is the traditional telegraphy sign-off meaning friendly regards. &quot;88&quot; is the one that means &quot;love and kisses,&quot; not 73. Memory Trick: 73 = &quot;best regards&quot;; 88 = &quot;hugs and kisses.&quot;"
BankQuestionID,B-002-005-008
,
question,Which of the following describes full break-in CW (QSK)?
optionA,Automatic keyers are used instead of hand keys
optionB,An operator must activate a manual send/receive switch before and after every transmission
optionC,Stations wishing to break in must send the Morse code signal &quot;BK&quot;
optionD,Incoming signals are received between transmitted dots and dashes
correctOption,D
explanation,Incoming signals are received between transmitted dots and dashes is correct because in full break-in (QSK) the transmitter and receiver switch fast enough that you can hear other stations while you are sending. It does not require manual switches or special &quot;BK&quot; use. Memory Trick: QSK = &quot;Quickly hear While Keying.&quot;
BankQuestionID,B-002-005-009
,
question,"When selecting a CW transmitting frequency, what minimum frequency separation from a contact in progress should you allow to minimize interference?"
optionA,150 Hz to 500 Hz
optionB,5 Hz to 50 Hz
optionC,1 kHz to 3 kHz
optionD,3 kHz to 6 kHz
correctOption,A
explanation,"150 Hz to 500 Hz is correct because CW signals are very narrow, typically a few tens of hertz wide, so a few hundred hertz separation is usually enough to prevent overlap. 1–3 kHz spacing is more than necessary for CW and is typical of SSB. Memory Trick: &quot;CW is thin, so a few hundred hertz keeps you in.&quot;"
BankQuestionID,B-002-005-010
,
question,What is the meaning of the Morse code signal &quot;R&quot;?
optionA,Repeat all
optionB,All received
optionC,End of message
optionD,Called station only reply
correctOption,B
explanation,"All received is correct because &quot;R&quot; acknowledges that you copied the previous transmission, similar to &quot;roger&quot; in voice. &quot;AR&quot; (&middot; &ndash; &middot; &ndash; &middot;) means end of message, and &quot;AGN&quot; (again) would ask for a repeat. Memory Trick: R = &quot;Received.&quot;"
BankQuestionID,B-002-005-011
,
question,What do &quot;RST&quot; signal reports describe?
optionA,Sunspot activity
optionB,Ionospheric conditions
optionC,Signal reception
optionD,Transmitter power
correctOption,C
explanation,"Signal reception is correct because RST reports describe how well the other station&apos;s signal is being received: how readable it is, how strong it is, and (for CW) how clean the tone is. They do not directly describe power, sunspots, or propagation conditions, only what you actually hear. Memory Trick: Think &quot;RST = Receiving Signal Test&quot; to remember it is about what you hear at your receiver."
BankQuestionID,B-002-006-001
,
question,What does &quot;RST&quot; stand for in a signal report?
optionA,"Recovery, signal strength, tempo"
optionB,"Recovery, signal speed, tone"
optionC,"Readability, signal speed, tempo"
optionD,"Readability, signal strength, tone"
correctOption,D
explanation,"Readability, signal strength, tone is correct because the R digit (1–5) describes how easy the signal is to copy, the S digit (1–9) is its strength, and the T digit (1–9, for CW) describes the purity of the tone. The other options use words that are not part of the standard reporting system. Memory Trick: R = Readable, S = Strong, T = Tone."
BankQuestionID,B-002-006-002
,
question,What is the meaning of: &quot;Your signal report is 5 7&quot;?
optionA,Your signal is perfectly readable and moderately strong
optionB,Your signal is readable with considerable difficulty
optionC,Your signal is perfectly readable with near pure tone
optionD,"Your signal is perfectly readable, but weak"
correctOption,A
explanation,"Your signal is perfectly readable and moderately strong is correct because R = 5 means &quot;perfectly readable&quot; and S = 7 is a moderately strong signal on the S scale. Tone is not part of a normal voice R S report, so the other tone based interpretation is incorrect here. Memory Trick: Think &quot;5 = fine copy, 7 = solid but not blasting.&quot;"
BankQuestionID,B-002-006-003
,
question,What is the meaning of: &quot;Your signal report is 3 3&quot;?
optionA,The contact is serial number 33
optionB,Your signal is readable with considerable difficulty and weak in strength
optionC,"Your signal is unreadable, very weak in strength"
optionD,The station is located at latitude 33 degrees
correctOption,B
explanation,"Your signal is readable with considerable difficulty and weak in strength is correct because R = 3 means you can copy it, but it is hard work, and S = 3 means the signal is weak. The other choices confuse the RST numbers with unrelated numbering. Memory Trick: &quot;3 3&quot; = &quot;hard to hear and weak&quot; on both counts."
BankQuestionID,B-002-006-004
,
question,What is the meaning of: &quot;You are 5 9 plus 20 dB&quot;?
optionA,Repeat your transmission on a frequency 20 kHz higher
optionB,Your signal strength has increased by a factor of 100
optionC,You are perfectly readable with a signal strength 20 decibels greater than S9
optionD,The bandwidth of your signal is 20 decibels above linearity
correctOption,C
explanation,"You are perfectly readable with a signal strength 20 decibels greater than S9 is correct because &quot;5 9&quot; is the standard &quot;loud and clear&quot; report, and &quot;plus 20 dB&quot; means the S meter is 20 dB above its S9 calibration point. It does not tell you to change frequency. Memory Trick: &quot;5 9 plus something&quot; always means &quot;very strong and very clear,&quot; with the &quot;plus&quot; number showing how far above S9."
BankQuestionID,B-002-006-005
,
question,A distant station asks for a signal report on a local repeater you monitor. What do you report?
optionA,Your S-meter reading on the repeater output frequency
optionB,Your S-meter reading on the repeater input frequency
optionC,The readability and strength of the repeater signal
optionD,The quality of the station&apos;s signal and audio as heard through the repeater
correctOption,D
explanation,"The quality of the station&apos;s signal and audio as heard through the repeater is correct because the useful information is how well that station is being repeated at your end. The S meter tells you more about the repeater output than about the original station. Memory Trick: On a repeater, you always report &quot;how you sound coming out of the machine.&quot;"
BankQuestionID,B-002-006-006
,
question,"Your receiver&apos;s S-meter is calibrated to a standard of 6 dB per S-unit per a recommendation by the International Amateur Radio Union (IARU). The S-meter shows S9 when receiving a station transmitting with 100 watts. Neglecting propagation changes, what transmitter power would cause your receiver&apos;s S-meter to read S8?"
optionA,25 watts
optionB,75 watts
optionC,50 watts
optionD,33 watts
correctOption,A
explanation,"25 watts is correct because a one S unit change (from S9 down to S8) is 6 dB, and a 6 dB decrease in power is a reduction by a factor of 4. One quarter of 100 watts is 25 watts. Memory Trick: Remember &quot;6 dB = 4 times&quot; power change; going down one S unit means divide power by 4."
BankQuestionID,B-002-006-007
,
question,Assume your receiver&apos;s S-meter is calibrated to a standard of 6 dB per S-unit per a recommendation by the International Amateur Radio Union (IARU). The S-meter on your receiver shows S8 when listening to a nearby transmitter. Approximately how much must the transmitter power be raised to increase the reading to S9?
optionA,2 times
optionB,4 times
optionC,5 times
optionD,3 times
correctOption,B
explanation,"4 times is correct because going up one S unit (S8 to S9) is an increase of 6 dB on a properly calibrated meter, and 6 dB corresponds to four times the power. The other factors do not match the standard dB to power relationship. Memory Trick: &quot;One S step up = 4 times the power.&quot;"
